	title	page_length	last_touched	lastrevid	geneid	proteinID	wikilink	counts	pubcount	median_pub_year	max_pub_year	priority_score
5305	LATS2	5767	2022-03-11T23:05:06Z	1066533715	26524	Q21105103	https://en.wikipedia.org/wiki/LATS2	1	181	2016	2022	1.7986466719512497
8967	EPRS	9640	2022-03-11T23:04:59Z	1040945003	2058	Q21122161	https://en.wikipedia.org/wiki/EPRS	1	180	2016	2021	1.1016301126259633
8708	SF3B3	9308	2022-03-11T23:04:59Z	1044804662	23450	Q21120165	https://en.wikipedia.org/wiki/SF3B3	1	180	2016	2021	1.1386303640493585
7366	POLR2H	7805	2022-03-11T23:04:08Z	1075133268	5437	Q21135042	https://en.wikipedia.org/wiki/POLR2H	1	180	2006	2021	1.3455156950672646
6909	CPSF6	7366	2022-03-11T23:05:06Z	1032319929	11052	Q21116713	https://en.wikipedia.org/wiki/CPSF6	1	180	2015	2021	1.4218746363601102
670	TXNRD1	1640	2022-03-11T23:06:10Z	997217660	7296	Q21150742	https://en.wikipedia.org/wiki/TXNRD1	1	180	2013	2022	6.16184668989547
5110	DNAJA2	5602	2022-03-11T23:05:06Z	1040779796	10294	Q21108138	https://en.wikipedia.org/wiki/DNAJA2	1	180	2016	2022	1.8493624725863211
669	TXNRD1	1640	2022-03-11T23:06:10Z	997217660	7296	Q21106751	https://en.wikipedia.org/wiki/TXNRD1	1	180	2013	2022	6.16184668989547
8709	SF3B3	9308	2022-03-11T23:04:59Z	1044804662	23450	Q21137529	https://en.wikipedia.org/wiki/SF3B3	1	180	2016	2021	1.1386303640493585
7423	PICALM	7875	2022-03-11T23:05:05Z	1043930760	8301	Q21121978	https://en.wikipedia.org/wiki/PICALM	1	179	2014	2021	1.333769841269841
7925	PTGES3	8415	2022-03-11T23:04:13Z	1032276189	10728	Q21173281	https://en.wikipedia.org/wiki/PTGES3	1	179	2011	2021	1.2522827009591715
6770	ACTR2	7238	2022-03-11T23:04:11Z	1032269229	10097	Q21170737	https://en.wikipedia.org/wiki/ACTR2	1	179	2012	2021	1.4455256977065487
6305	HSPA2	6714	2022-03-11T23:04:58Z	1041653694	3306	Q21115440	https://en.wikipedia.org/wiki/HSPA2	1	179	2013	2022	1.5533536533469507
8451	ALCAM	8995	2022-03-19T20:55:01Z	1075868532	214	Q21113038	https://en.wikipedia.org/wiki/ALCAM	1	179	2013	2022	1.1756573096164535
7425	PICALM	7875	2022-03-11T23:05:05Z	1043930760	8301	Q21143981	https://en.wikipedia.org/wiki/PICALM	1	179	2014	2021	1.333769841269841
7424	PICALM	7875	2022-03-11T23:05:05Z	1043930760	8301	Q21142671	https://en.wikipedia.org/wiki/PICALM	1	179	2014	2021	1.333769841269841
9168	DNAJB6	9951	2022-03-11T23:04:58Z	1057640442	10049	Q21141764	https://en.wikipedia.org/wiki/DNAJB6	1	178	2015	2021	1.0684955567997474
9167	DNAJB6	9951	2022-03-11T23:04:58Z	1057640442	10049	Q21131465	https://en.wikipedia.org/wiki/DNAJB6	1	178	2015	2021	1.0684955567997474
7823	PDGFA	8281	2022-03-11T23:04:10Z	1043921078	5154	Q21123233	https://en.wikipedia.org/wiki/PDGFA	1	178	2010	2022	1.2711550537374714
6567	Nicastrin	7011	2022-03-11T22:58:29Z	1021990426	23385	Q7024546	https://en.wikipedia.org/wiki/Nicastrin	1	177	2011	2022	1.4895443384884977
9012	PABPN1	9702	2022-03-11T23:04:57Z	1021670783	8106	Q21126792	https://en.wikipedia.org/wiki/PABPN1	1	177	2013	2022	1.0939296021438878
5374	HIST1H1C	5815	2022-03-11T23:05:06Z	1041621660	3006	Q21119046	https://en.wikipedia.org/wiki/HIST1H1C	1	177	2015	2021	1.7829047414322565
7822	FOSL1	8278	2022-03-11T23:04:56Z	1047189354	8061	Q21110792	https://en.wikipedia.org/wiki/FOSL1	1	176	2013	2022	1.2708784040313397
8330	MERTK	8864	2022-03-11T23:04:58Z	997500621	10461	Q21120828	https://en.wikipedia.org/wiki/MERTK	1	176	2015	2022	1.191015987622486
8105	ABCG1	8595	2022-03-11T23:04:56Z	1039373335	9619	Q21113668	https://en.wikipedia.org/wiki/ABCG1	1	176	2012	2022	1.2263242749106624
9152	DLK1	9937	2022-03-11T23:04:56Z	1040774584	8788	Q21149277	https://en.wikipedia.org/wiki/DLK1	1	176	2012	2022	1.0691970844894263
9151	DLK1	9937	2022-03-11T23:04:56Z	1040774584	8788	Q21115809	https://en.wikipedia.org/wiki/DLK1	1	176	2012	2022	1.0691970844894263
7257	RIPK2	7697	2022-03-11T23:04:56Z	1044562243	8767	Q21111679	https://en.wikipedia.org/wiki/RIPK2	1	176	2012	2022	1.3620646262922476
8775	SMARCE1	9378	2022-03-11T23:04:57Z	1044818917	6605	Q21171861	https://en.wikipedia.org/wiki/SMARCE1	1	175	2013	2022	1.1288254425250586
7078	C1QA	7547	2022-03-11T23:04:12Z	1040081276	712	Q21116900	https://en.wikipedia.org/wiki/C1QA	1	175	2011	2021	1.3875298131707963
8774	SMARCE1	9378	2022-03-11T23:04:57Z	1044818917	6605	Q21137380	https://en.wikipedia.org/wiki/SMARCE1	1	175	2013	2022	1.1288254425250586
8060	RAB8A	8559	2022-03-11T23:04:58Z	1044537929	4218	Q21149623	https://en.wikipedia.org/wiki/RAB8A	1	174	2013	2022	1.230503646954751
8059	RAB8A	8559	2022-03-11T23:04:58Z	1044537929	4218	Q21108073	https://en.wikipedia.org/wiki/RAB8A	1	174	2013	2022	1.230503646954751
7758	HNRPUL1	8209	2022-03-11T23:04:58Z	1041642280	11100	Q21109509	https://en.wikipedia.org/wiki/HNRPUL1	1	174	2015	2022	1.2803180307328192
6753	HIST1H1A	7217	2022-03-11T23:04:58Z	1041621547	3024	Q21130929	https://en.wikipedia.org/wiki/HIST1H1A	1	174	2005	2021	1.4477601496466674
7759	HNRPUL1	8209	2022-03-11T23:04:58Z	1041642280	11100	Q21139880	https://en.wikipedia.org/wiki/HNRPUL1	1	174	2015	2022	1.2803180307328192
7174	EEF1A2	7629	2022-03-11T23:04:57Z	1075112244	1917	Q21111147	https://en.wikipedia.org/wiki/EEF1A2	1	173	2015	2021	1.3725734977435724
8734	THRAP3	9330	2022-03-11T23:05:00Z	1045653694	9967	Q21116038	https://en.wikipedia.org/wiki/THRAP3	1	173	2015	2022	1.133597075486143
8290	FCGR1A	8794	2022-03-19T20:55:02Z	1073220057	2209	Q21101398	https://en.wikipedia.org/wiki/FCGR1A	1	173	2011	2021	1.1989246726664284
1052	HBG2	2238	2022-03-11T23:04:08Z	993895747	3048	Q21103344	https://en.wikipedia.org/wiki/HBG2	1	173	1993	2021	4.530060960040853
8627	PBRM1	9204	2022-03-11T23:05:06Z	1043913606	55193	Q21097448	https://en.wikipedia.org/wiki/PBRM1	1	173	2015	2022	1.1482698516173093
7339	DKK3	7777	2022-03-11T23:04:58Z	997962543	27122	Q21112248	https://en.wikipedia.org/wiki/DKK3	1	173	2013	2022	1.3476285842870002
