	QID	label	geneID	proteinID
927	Q18039599	RANGRF	29098	Q21173878
933	Q18039602	SSU72	29101	Q21120511
935	Q18039606	DNAJC15	29103	Q21112255
937	Q18039610	CFAP20	29105	Q21100705
939	Q18039616	C6orf15	29113	Q21111926
941	Q18039618	SAP30BP	29115	Q21103105
943	Q18039622	DDX25	29118	Q21115742
951	Q18039625	PRSS50	29122	Q21135132
952	Q18039628	C11orf21	29125	Q21110713
954	Q18039647	ABT1	29777	Q21201614
955	Q18039657	YPEL1	29799	Q21136500
957	Q18039658	ZDHHC1	29800	Q21174847
958	Q18039663	GRHL1	29841	Q21115975
964	Q18032611	DNALI1	7802	Q21111365
970	Q18032642	BRPF1	7862	Q22678398
972	Q18032643	IFRD2	7866	Q21131534
978	Q18032693	ZNF212	7988	Q21172793
980	Q18032696	UBXN8	7993	Q21136454
982	Q18032722	MLF2	8079	Q21133092
984	Q18032730	YEATS4	8089	Q21126489
986	Q18032736	DPF3	8110	Q21114298
988	Q18032771	CLTCL1	8218	Q21109801
990	Q18032778	PNPLA4	8228	Q21134884
992	Q18032790	TMEM187	8269	Q21134321
994	Q18032791	LAGE3	8270	Q21118522
996	Q18032801	SERF1A	8293	Q21134494
1002	Q18032876	NME5	8382	Q21114312
1008	Q18032923	ZNF282	8427	Q21136868
1010	Q18032929	RASAL1	8437	Q21126945
1012	Q18032931	NSMAF	8439	Q21096448
1014	Q18032937	DUSP11	8446	Q21107134
1023	Q18032980	PRSS12	8492	Q21124843
1038	Q18033065	ELP1	8518	Q21114370
1040	Q18033071	DGKE	8526	Q5804957
1042	Q18033080	CBX4	8535	Q21109155
1044	Q18033083	BARX2	8538	Q21100429
1046	Q18033087	AGPS	8540	Q21113724
1051	Q18033107	PRPF18	8559	Q21123788
1057	Q18033126	TMEFF1	8577	Q21125322
1059	Q18033127	SCARF1	8578	Q21125264
1060	Q18036414	GALNT5	11227	Q21173250
1061	Q18036416	PRAF2	11230	Q21126018
1063	Q18036428	NXPH4	11247	Q21120963
1065	Q18036430	NXPH2	11249	Q21120961
1067	Q18036446	NRM	11270	Q21201759
1069	Q18036455	POU6F2	11281	Q21117787
1071	Q18036462	LYPLA2	11313	Q21118664
1073	Q18036466	RBPJL	11317	Q21126104
1075	Q18036470	GPN1	11321	Q21131511
1077	Q18036484	OIP5	11339	Q21115036
1085	Q18036516	DNAJC8	22826	Q21117950
1087	Q18036518	SCAF8	22828	Q21118957
1092	Q18036520	CEP162	22832	Q21117118
1094	Q18036521	ZNF652	22834	Q21130957
1102	Q18036525	RNF44	22838	Q21134485
1104	Q18036528	PPM1E	22843	Q21134462
1110	Q18036534	CPEB3	22849	Q21115704
1112	Q18036535	ADNP2	22850	Q21112537
1113	Q18036544	ATG14	22863	Q21115454
1114	Q18036545	R3HDM2	22864	Q21125008
1116	Q18036546	SLITRK3	22865	Q21124491
1122	Q18036555	ENPP4	22875	Q21105891
1142	Q18036568	KHDC4	22889	Q21113457
1154	Q18036578	ARSG	22901	Q21130544
1159	Q18036580	BTBD3	22903	Q21112886
1161	Q18036584	DHX30	22907	Q21114052
1163	Q18036590	NCBP2	22916	Q21108914
1165	Q18036600	SEPHS2	22928	Q21122100
1168	Q18036604	POMZP3	22932	Q21124942
1170	Q18036606	RPIA	22934	Q21173263
1172	Q18036615	PTGR1	22949	Q21134201
1173	Q18036616	SLC4A1AP	22950	Q21132847
1175	Q18036628	NT5C2	22978	Q21109362
1177	Q18036629	EFR3B	22979	Q21102758
1185	Q18036634	PDCD11	22984	Q21120935
1187	Q18036636	SORCS3	22986	Q21124545
1189	Q18036637	SV2C	22987	Q21159894
1191	Q18036645	IGSF9B	22997	Q21135150
1193	Q18036650	MAPKBP1	23005	Q21113852
1195	Q18036651	PLCH1	23007	Q6055401
1196	Q18036652	KLHDC10	23008	Q21118602
1198	Q18036656	FBXO21	23014	Q21101332
1200	Q18036659	FAIM2	23017	Q21113596
1202	Q18036662	TMCC1	23023	Q21125337
1204	Q18036665	MYO16	23026	Q21174018
1216	Q18036677	XPO7	23039	Q21126106
1218	Q18036680	PDXDC1	23042	Q21134370
1220	Q18036682	KIF21B	23046	Q21119878
1221	Q18036687	ENDOD1	23052	Q21105877
1223	Q18036688	ZSWIM8	23053	Q21117896
1225	Q18036692	ZNF609	23060	Q21136741
1231	Q18036698	CAND2	23066	Q21112910
1235	Q18030404	PDE3A	5139	Q21123247
1237	Q18030405	PDE3B	5140	Q21123244
1239	Q18030414	PDE6H	5149	Q21105644
1241	Q18030423	PDGFRL	5157	Q21126812
1243	Q18030439	PDYN	5173	Q21120419
1248	Q18030463	PEX7	5191	Q21122478
1250	Q18030469	PF4V1	5197	Q21158703
1258	Q18030486	VIT	5212	Q21174231
1260	Q18030494	PGAM1	5223	Q21173826
1262	Q18030499	PGD	5226	Q21115127
1263	Q18030504	PGK2	5232	Q21134372
1265	Q18030524	PHYH	5264	Q21101235
1267	Q18030584	PLCL1	5334	Q21125871
1268	Q18030592	PLGLB1	5343	Q21123272
1270	Q18030596	PLOD1	5351	Q21123274
1276	Q18030611	PNOC	5368	Q21158882
1282	Q18030632	PNLIPRP2	5408	Q21158095
1285	Q18030674	POU5F1B	5462	Q21119677
1287	Q18030675	POU6F1	5463	Q21134899
1289	Q18030676	PPA1	5464	Q22683580
1290	Q18030704	PPP1R1A	5502	Q21124954
1292	Q18030708	PPP1R3D	5509	Q21125989
1296	Q18030786	PRKG2	5593	Q21119865
1297	Q18030814	PRPS1	5631	Q21119240
1299	Q18030815	PRPS2	5634	Q21119239
1301	Q18030818	PRRG1	5638	Q21125351
1303	Q18030819	PRRG2	5639	Q21125352
1305	Q18030827	TMPRSS15	5651	Q22676756
1310	Q18030843	PSG7	5676	Q21123795
1312	Q18030846	PSG11	5680	Q21123800
1316	Q18027497	MRPL58	3396	Q21114680
1317	Q18027559	IDI1	3422	Q21151146
1319	Q18027976	IPP	3652	Q21107744
1326	Q18028249	KHK	3795	Q21155977
1330	Q18028315	KLRC3	3823	Q21123098
1332	Q18028333	KIF25	3834	Q21119922
