	title	page_length	last_touched	lastrevid	geneID	proteinID	wikilink	counts
1101	NABP1	2357	2022-03-11T23:40:09Z	1043621230	64859	Q21113561	https://en.wikipedia.org/wiki/NABP1	1
1102	OR2T34	2363	2022-03-11T23:05:06Z	1043798246	127068	Q21120279	https://en.wikipedia.org/wiki/OR2T34	1
1103	MEX3D	2363	2022-03-11T23:19:23Z	1043220622	399664	Q21113649	https://en.wikipedia.org/wiki/MEX3D	1
1104	CatSper3	2372	2022-03-11T23:12:13Z	1039568298	347732	Q21109974	https://en.wikipedia.org/wiki/CatSper3	1
1105	TINP1	2374	2022-03-11T23:07:39Z	995812730	10412	Q21133728	https://en.wikipedia.org/wiki/TINP1	1
1106	OR13C3	2375	2022-03-11T23:05:06Z	1043796468	138803	Q21120210	https://en.wikipedia.org/wiki/OR13C3	1
1107	OR13C5	2375	2022-03-11T23:05:06Z	1043796497	138799	Q21120213	https://en.wikipedia.org/wiki/OR13C5	1
1108	Nephronectin	2381	2022-03-11T23:52:54Z	1043680255	255743	Q21133727	https://en.wikipedia.org/wiki/Nephronectin	1
1109	Nephronectin	2381	2022-03-11T23:52:54Z	1043680255	255743	Q21138448	https://en.wikipedia.org/wiki/Nephronectin	1
1110	IRX6	2387	2022-03-11T23:21:39Z	1042056808	79190	Q21119162	https://en.wikipedia.org/wiki/IRX6	1
1111	SULT1C3	2389	2022-03-11T23:21:20Z	994814193	442038	Q21122141	https://en.wikipedia.org/wiki/SULT1C3	1
1112	CAP2	2390	2022-03-11T23:07:39Z	994497514	10486	Q21096409	https://en.wikipedia.org/wiki/CAP2	1
1113	RGS9BP	2398	2022-03-11T23:51:24Z	1023287236	388531	Q21125003	https://en.wikipedia.org/wiki/RGS9BP	1
1114	CFAP47	2401	2022-03-11T23:54:17Z	951083439	286464	Q21113058	https://en.wikipedia.org/wiki/CFAP47	1
1115	GPR101	2401	2022-03-11T23:04:30Z	997938485	83550	Q21114667	https://en.wikipedia.org/wiki/GPR101	1
1116	ATPAF1	2404	2022-03-14T04:26:44Z	1077015617	64756	Q21131463	https://en.wikipedia.org/wiki/ATPAF1	1
1117	OR1J4	2405	2022-03-11T23:05:06Z	1043797081	26219	Q21123662	https://en.wikipedia.org/wiki/OR1J4	1
1118	SLC22A25	2405	2022-03-15T12:38:42Z	1044814499	387601	Q21121320	https://en.wikipedia.org/wiki/SLC22A25	1
1119	OR6F1	2406	2022-03-11T23:05:06Z	1043801109	343169	Q21124208	https://en.wikipedia.org/wiki/OR6F1	1
1120	Synaptotagmin-14	2406	2022-03-11T23:29:04Z	1003708168	255928	Q21126484	https://en.wikipedia.org/wiki/Synaptotagmin-14	1
1121	Synaptotagmin-14	2406	2022-03-11T23:29:04Z	1003708168	255928	Q21141480	https://en.wikipedia.org/wiki/Synaptotagmin-14	1
1122	BBS12	2408	2022-03-11T23:10:38Z	1075478522	166379	Q21105418	https://en.wikipedia.org/wiki/BBS12	1
1123	TUBGCP4	2408	2022-03-11T23:31:00Z	800747881	27229	Q21110347	https://en.wikipedia.org/wiki/TUBGCP4	1
1124	TUBGCP4	2408	2022-03-11T23:31:00Z	800747881	27229	Q21148830	https://en.wikipedia.org/wiki/TUBGCP4	1
1125	OR4F15	2411	2022-03-11T23:05:10Z	1043798802	390649	Q21120270	https://en.wikipedia.org/wiki/OR4F15	1
1126	IFT74	2412	2022-03-11T23:22:50Z	1032975663	80173	Q21119149	https://en.wikipedia.org/wiki/IFT74	1
1127	KCNF1	2415	2022-03-11T23:09:09Z	1042808609	3754	Q21119844	https://en.wikipedia.org/wiki/KCNF1	1
1128	SLC8B1	2415	2022-03-11T23:37:41Z	993656956	80024	Q21109032	https://en.wikipedia.org/wiki/SLC8B1	1
1129	SRD5A3	2416	2022-03-11T23:24:28Z	1044832939	79644	Q22679310	https://en.wikipedia.org/wiki/SRD5A3	1
1130	GZMB	2416	2022-03-11T23:04:10Z	1036674012	3002	Q22677246	https://en.wikipedia.org/wiki/GZMB	1
1131	OR2T1	2418	2022-03-11T23:05:06Z	1043798117	26696	Q21173808	https://en.wikipedia.org/wiki/OR2T1	1
1132	METRN	2425	2022-03-11T23:46:34Z	1052289765	79006	Q21172593	https://en.wikipedia.org/wiki/METRN	1
1133	OR10C1	2426	2022-03-11T23:05:10Z	1043795787	442194	Q21120244	https://en.wikipedia.org/wiki/OR10C1	1
1134	CXCL6	2431	2022-03-13T19:37:53Z	1051475695	6372	Q21113163	https://en.wikipedia.org/wiki/CXCL6	1
1135	LRRC39	2433	2022-03-11T23:07:37Z	1003714945	127495	Q21108899	https://en.wikipedia.org/wiki/LRRC39	1
1136	ZFAND5	2436	2022-03-12T00:03:34Z	995400154	7763	Q21135160	https://en.wikipedia.org/wiki/ZFAND5	1
1137	OR51I2	2438	2022-03-11T23:05:10Z	1043799522	390064	Q21121057	https://en.wikipedia.org/wiki/OR51I2	1
1138	DGKB	2440	2022-03-11T23:07:37Z	1040770440	1607	Q21102597	https://en.wikipedia.org/wiki/DGKB	1
1139	OR51B5	2441	2022-03-11T23:05:06Z	1043799245	282763	Q21120300	https://en.wikipedia.org/wiki/OR51B5	1
1140	SUCNR1	2442	2022-03-11T23:04:30Z	1044841569	56670	Q21174011	https://en.wikipedia.org/wiki/SUCNR1	1
1141	OR2A12	2442	2022-03-11T23:05:06Z	1043797343	346525	Q21120277	https://en.wikipedia.org/wiki/OR2A12	1
1142	KCNAB3	2448	2022-03-11T23:09:09Z	1042806896	9196	Q21113502	https://en.wikipedia.org/wiki/KCNAB3	1
1143	OR2D2	2449	2022-03-11T23:05:06Z	1043797670	120776	Q21109139	https://en.wikipedia.org/wiki/OR2D2	1
1144	ATG4D	2452	2022-03-11T23:38:53Z	950401488	84971	Q21097579	https://en.wikipedia.org/wiki/ATG4D	1
1145	ATG4D	2452	2022-03-11T23:38:53Z	950401488	84971	Q21136972	https://en.wikipedia.org/wiki/ATG4D	1
1146	OR4D1	2452	2022-03-11T23:05:06Z	1043798667	26689	Q21120329	https://en.wikipedia.org/wiki/OR4D1	1
1147	AEBP2	2453	2022-03-11T23:39:21Z	1064910801	121536	Q21104962	https://en.wikipedia.org/wiki/AEBP2	1
1148	OR1B1	2455	2022-03-11T23:05:06Z	1043796781	347169	Q21123661	https://en.wikipedia.org/wiki/OR1B1	1
1149	OR7D2	2456	2022-03-11T23:05:06Z	1043801529	162998	Q21124234	https://en.wikipedia.org/wiki/OR7D2	1
1150	P4HTM	2459	2022-03-11T23:52:51Z	1001521716	54681	Q21119675	https://en.wikipedia.org/wiki/P4HTM	1
1151	OR6V1	2459	2022-03-11T23:05:07Z	1043801292	346517	Q21124127	https://en.wikipedia.org/wiki/OR6V1	1
1152	BCL9L	2460	2022-03-11T23:53:08Z	1032182096	283149	Q21113889	https://en.wikipedia.org/wiki/BCL9L	1
1153	FMNL3	2460	2022-03-11T23:23:49Z	1048078647	91010	Q21101463	https://en.wikipedia.org/wiki/FMNL3	1
1154	INPP5F	2461	2022-03-11T23:55:46Z	1023305635	22876	Q21122746	https://en.wikipedia.org/wiki/INPP5F	1
1155	INPP5F	2461	2022-03-11T23:55:46Z	1023305635	22876	Q21143522	https://en.wikipedia.org/wiki/INPP5F	1
1156	SLITRK5	2467	2022-03-11T23:07:38Z	994833640	26050	Q21124492	https://en.wikipedia.org/wiki/SLITRK5	1
1157	SERF2	2468	2022-03-11T23:05:29Z	1032180591	10169	Q21134495	https://en.wikipedia.org/wiki/SERF2	1
1158	SERF2	2468	2022-03-11T23:05:29Z	1032180591	10169	Q21145599	https://en.wikipedia.org/wiki/SERF2	1
1159	MRGPRF	2469	2022-03-11T23:04:39Z	1043232019	116535	Q21118786	https://en.wikipedia.org/wiki/MRGPRF	1
1160	MRGPRF	2469	2022-03-11T23:04:39Z	1043232019	116535	Q21149061	https://en.wikipedia.org/wiki/MRGPRF	1
1161	DCHS2	2469	2022-03-11T23:24:38Z	1009005222	54798	Q21121849	https://en.wikipedia.org/wiki/DCHS2	1
1162	TAS2R40	2472	2022-03-11T23:04:39Z	1032278184	259286	Q21135771	https://en.wikipedia.org/wiki/TAS2R40	1
1163	TAS2R39	2472	2022-03-11T23:04:39Z	1032270664	259285	Q21135770	https://en.wikipedia.org/wiki/TAS2R39	1
1164	FAM20A	2476	2022-03-11T23:26:29Z	994263746	54757	Q21106088	https://en.wikipedia.org/wiki/FAM20A	1
1165	SOSTDC1	2477	2022-03-11T23:05:33Z	1056820366	25928	Q21124532	https://en.wikipedia.org/wiki/SOSTDC1	1
1166	HBD	2477	2022-03-11T23:04:14Z	993313841	3045	Q21103339	https://en.wikipedia.org/wiki/HBD	1
1167	TEX11	2478	2022-03-11T23:54:37Z	1046536045	56159	Q21111667	https://en.wikipedia.org/wiki/TEX11	1
1168	RABGAP1	2479	2022-03-11T23:30:23Z	997178334	23637	Q21113340	https://en.wikipedia.org/wiki/RABGAP1	1
1169	OR6C4	2483	2022-03-11T23:05:06Z	1043801078	341418	Q21124156	https://en.wikipedia.org/wiki/OR6C4	1
1170	ARV1	2484	2022-03-11T23:34:15Z	950825759	64801	Q21105285	https://en.wikipedia.org/wiki/ARV1	1
1171	OR56A4	2484	2022-03-11T23:05:06Z	1043800086	120793	Q21121015	https://en.wikipedia.org/wiki/OR56A4	1
1172	RNF24	2486	2022-03-11T23:25:21Z	1044571081	11237	Q21134960	https://en.wikipedia.org/wiki/RNF24	1
1173	RAB35	2487	2022-03-11T23:07:37Z	1032265219	11021	Q21119450	https://en.wikipedia.org/wiki/RAB35	1
1174	RAB35	2487	2022-03-11T23:07:37Z	1032265219	11021	Q21139152	https://en.wikipedia.org/wiki/RAB35	1
1175	BCL6B	2488	2022-03-11T23:07:38Z	1039893055	255877	Q21113870	https://en.wikipedia.org/wiki/BCL6B	1
1176	BCL6B	2488	2022-03-11T23:07:38Z	1039893055	255877	Q21113891	https://en.wikipedia.org/wiki/BCL6B	1
1177	DCP1B	2490	2022-03-11T23:07:37Z	1065391879	196513	Q21110032	https://en.wikipedia.org/wiki/DCP1B	1
1178	OR51B4	2492	2022-03-11T23:05:06Z	1043799226	79339	Q21120304	https://en.wikipedia.org/wiki/OR51B4	1
1179	NUDCD2	2492	2022-03-11T23:07:39Z	1043645206	134492	Q21111404	https://en.wikipedia.org/wiki/NUDCD2	1
1180	KCNQ1DN	2494	2022-03-13T20:04:25Z	1042811436	55539	Q21118581	https://en.wikipedia.org/wiki/KCNQ1DN	1
1181	TAS2R30	2494	2022-03-11T23:04:39Z	1032250821	259293	Q21135775	https://en.wikipedia.org/wiki/TAS2R30	1
1182	SSBP3	2496	2022-03-11T23:07:38Z	1044834130	23648	Q21118110	https://en.wikipedia.org/wiki/SSBP3	1
1183	OR1C1	2500	2022-03-11T23:05:06Z	1043796798	26188	Q21123660	https://en.wikipedia.org/wiki/OR1C1	1
1184	OR2M7	2501	2022-03-11T23:05:10Z	1043798074	391196	Q21120336	https://en.wikipedia.org/wiki/OR2M7	1
1185	GPR83	2503	2022-03-11T23:04:35Z	1067459180	10888	Q21108697	https://en.wikipedia.org/wiki/GPR83	1
1186	NLRP14	2505	2022-03-11T23:22:32Z	993878503	338323	Q21124040	https://en.wikipedia.org/wiki/NLRP14	1
1187	CCDC8	2507	2022-03-11T23:29:04Z	797985773	83987	Q21172207	https://en.wikipedia.org/wiki/CCDC8	1
1188	HTR3E	2508	2022-03-11T23:09:08Z	1039567579	285242	Q21108113	https://en.wikipedia.org/wiki/HTR3E	1
1189	OR8B8	2510	2022-03-11T23:05:06Z	1043801695	26493	Q21124117	https://en.wikipedia.org/wiki/OR8B8	1
1190	SBNO2	2515	2022-03-11T23:35:59Z	995840059	22904	Q21122769	https://en.wikipedia.org/wiki/SBNO2	1
1191	LGALS13	2520	2022-03-11T23:05:21Z	994326531	29124	Q21108757	https://en.wikipedia.org/wiki/LGALS13	1
