	title	page_length	last_touched	lastrevid	geneid	proteinID	wikilink	counts	pubcount	median_pub_year	max_pub_year	priority_score
401	CSF2RB	1043	2022-03-19T20:55:01Z	992043193	1439	Q5014088	https://en.wikipedia.org/wiki/CSF2RB	1	106	2003	2022	9.625584851390222
402	TMPRSS4	1043	2022-03-11T23:32:42Z	1076322155	56649	Q21119219	https://en.wikipedia.org/wiki/TMPRSS4	1	62	2014	2022	9.609870565675935
403	Oct-2	1048	2022-03-13T19:37:33Z	1074066548	5452	Q21134886	https://en.wikipedia.org/wiki/Oct-2	1	69	2005	2021	9.566627589967284
404	NEIL3	1048	2022-03-11T23:33:10Z	808150456	55247	Q21124832	https://en.wikipedia.org/wiki/NEIL3	1	42	2014	2021	9.556984732824429
406	SFSWAP	1050	2022-03-11T23:34:56Z	906348699	6433	Q21150437	https://en.wikipedia.org/wiki/SFSWAP	1	38	2016	2021	9.537380952380952
405	SFSWAP	1050	2022-03-11T23:34:56Z	906348699	6433	Q21133585	https://en.wikipedia.org/wiki/SFSWAP	1	38	2016	2021	9.537380952380952
413	CLTB	1061	2022-03-11T23:35:15Z	900181280	1212	Q21100809	https://en.wikipedia.org/wiki/CLTB	1	69	2011	2021	9.449713545173017
414	CLTB	1061	2022-03-11T23:35:15Z	900181280	1212	Q21137386	https://en.wikipedia.org/wiki/CLTB	1	69	2011	2021	9.449713545173017
423	ESCO1	1090	2022-03-11T23:44:41Z	977813802	114799	Q21110205	https://en.wikipedia.org/wiki/ESCO1	1	35	2015	2021	9.186811926605504
424	SOCS4	1091	2022-03-11T23:46:33Z	905047780	122809	Q21172876	https://en.wikipedia.org/wiki/SOCS4	1	33	2012	2021	9.177688555715596
427	GPX8	1095	2022-03-11T23:23:58Z	993563697	493869	Q21103294	https://en.wikipedia.org/wiki/GPX8	1	44	2017	2021	9.148134377038486
426	TRIM69	1095	2022-03-11T23:46:27Z	905325806	140691	Q21110457	https://en.wikipedia.org/wiki/TRIM69	1	34	2012	2021	9.144562948467058
430	ATP9A	1106	2022-03-11T23:48:49Z	993595185	10079	Q21116847	https://en.wikipedia.org/wiki/ATP9A	1	33	2015	2021	9.053377034358048
434	WDHD1	1109	2022-03-11T23:34:00Z	808585465	11169	Q21119207	https://en.wikipedia.org/wiki/WDHD1	1	76	2015	2022	9.04427540899137
435	NEFH	1115	2022-03-11T23:19:52Z	1073322295	4744	Q21120922	https://en.wikipedia.org/wiki/NEFH	1	89	2013	2022	9.000395579756566
442	CNNM2	1128	2022-03-11T23:34:03Z	931817847	54805	Q21109872	https://en.wikipedia.org/wiki/CNNM2	1	53	2013	2021	8.884176798378926
443	HOGA1	1128	2022-03-11T23:24:31Z	1055498694	112817	Q21118328	https://en.wikipedia.org/wiki/HOGA1	1	31	2013	2022	8.876319655521783
447	LPCAT1	1134	2022-03-11T23:32:42Z	950616917	79888	Q21158591	https://en.wikipedia.org/wiki/LPCAT1	1	90	2017	2022	8.850485008818342
450	PGAM5	1137	2022-03-13T20:34:26Z	905094813	192111	Q21121880	https://en.wikipedia.org/wiki/PGAM5	1	148	2017	2022	8.847931900992586
448	DKK4	1134	2022-03-12T00:05:26Z	1061448517	27121	Q21112250	https://en.wikipedia.org/wiki/DKK4	1	39	2012	2021	8.832270723104058
451	GSDMB	1138	2022-03-11T23:48:20Z	994828404	55876	Q21119015	https://en.wikipedia.org/wiki/GSDMB	1	75	2012	2022	8.814131935726838
459	CLEC4C	1157	2022-03-19T20:55:01Z	721557521	170482	Q21114185	https://en.wikipedia.org/wiki/CLEC4C	1	34	2011	2021	8.655185208050376
465	PGRMC2	1177	2022-03-11T23:51:39Z	994759365	10424	Q21125813	https://en.wikipedia.org/wiki/PGRMC2	1	72	2016	2021	8.52189100619007
464	HECTD4	1176	2022-03-11T23:49:00Z	995324191	283450	Q21118272	https://en.wikipedia.org/wiki/HECTD4	1	34	2015	2021	8.515544217687074
467	DIS3L2	1178	2022-03-11T23:34:12Z	937518824	129563	Q21115780	https://en.wikipedia.org/wiki/DIS3L2	1	47	2015	2021	8.505750060635458
473	TTC28	1198	2022-03-11T23:39:15Z	1045682307	23331	Q21123516	https://en.wikipedia.org/wiki/TTC28	1	41	2015	2021	8.361888266157882
478	GNPTG	1212	2022-03-11T23:35:16Z	824064805	84572	Q21138265	https://en.wikipedia.org/wiki/GNPTG	1	43	2012	2021	8.266182225365394
477	GNPTG	1212	2022-03-11T23:35:16Z	824064805	84572	Q21130428	https://en.wikipedia.org/wiki/GNPTG	1	43	2012	2021	8.266182225365394
479	MED18	1216	2022-03-11T23:54:18Z	950744399	54797	Q21118336	https://en.wikipedia.org/wiki/MED18	1	39	2014	2021	8.237612781954887
480	MED11	1217	2022-03-11T23:54:18Z	951501059	400569	Q21118725	https://en.wikipedia.org/wiki/MED11	1	33	2014	2021	8.228712583636577
481	GNA14	1218	2022-03-12T00:00:25Z	993089401	9630	Q21117521	https://en.wikipedia.org/wiki/GNA14	1	50	2011	2021	8.22803776683087
487	MED10	1247	2022-03-11T23:54:18Z	1031752137	84246	Q21118720	https://en.wikipedia.org/wiki/MED10	1	48	2013	2022	8.036389048000917
492	PTBP2	1253	2022-03-11T23:18:49Z	995430693	58155	Q21135200	https://en.wikipedia.org/wiki/PTBP2	1	61	2012	2021	8.0026316839585
499	ROCK2	1276	2022-03-11T23:47:10Z	1050894068	9475	Q21151747	https://en.wikipedia.org/wiki/ROCK2	1	258	2015	2022	7.929133452754142
498	ROCK2	1276	2022-03-11T23:47:10Z	1050894068	9475	Q21127094	https://en.wikipedia.org/wiki/ROCK2	1	258	2015	2022	7.929133452754142
497	H1F0	1276	2022-03-13T19:49:56Z	995435644	3005	Q21108707	https://en.wikipedia.org/wiki/H1F0	1	132	2015	2021	7.884133452754142
502	LANCL1	1284	2022-03-11T23:47:09Z	995717721	10314	Q21105893	https://en.wikipedia.org/wiki/LANCL1	1	58	2017	2021	7.808876279483757
504	DCAF8	1286	2022-03-11T23:56:43Z	1049195444	50717	Q21139905	https://en.wikipedia.org/wiki/DCAF8	1	61	2015	2022	7.797835481004221
505	DCAF8	1286	2022-03-11T23:56:43Z	1049195444	50717	Q21171789	https://en.wikipedia.org/wiki/DCAF8	1	61	2015	2022	7.797835481004221
546	GSTT1	1407	2022-03-11T23:04:01Z	994839059	2952	Q21148104	https://en.wikipedia.org/wiki/GSTT1	1	1862	2009	2022	7.772320540156361
545	GSTT1	1407	2022-03-11T23:04:01Z	994839059	2952	Q21133226	https://en.wikipedia.org/wiki/GSTT1	1	1862	2009	2022	7.772320540156361
509	PHF2	1290	2022-03-11T23:47:02Z	1025835752	5253	Q21122508	https://en.wikipedia.org/wiki/PHF2	1	53	2016	2022	7.770866555924695
508	PPP2R2D	1290	2022-03-11T23:57:02Z	1043951777	55844	Q21140029	https://en.wikipedia.org/wiki/PPP2R2D	1	48	2015	2021	7.7690808416389805
507	PPP2R2D	1290	2022-03-11T23:57:02Z	1043951777	55844	Q21132718	https://en.wikipedia.org/wiki/PPP2R2D	1	48	2015	2021	7.7690808416389805
511	GNA15	1293	2022-03-12T00:00:25Z	995849505	2769	Q21106180	https://en.wikipedia.org/wiki/GNA15	1	48	2003	2021	7.75109490664015
513	RASGRF1	1306	2022-03-11T23:34:33Z	808189445	5923	Q21122676	https://en.wikipedia.org/wiki/RASGRF1	1	61	2006	2020	7.6787535550207835
516	BRAT1	1322	2022-03-11T23:35:39Z	928524623	221927	Q21130709	https://en.wikipedia.org/wiki/BRAT1	1	49	2016	2021	7.581796520423601
518	MRPS9	1330	2022-03-11T23:54:22Z	1002194523	64965	Q21126971	https://en.wikipedia.org/wiki/MRPS9	1	87	2018	2022	7.549868421052632
519	MRPS9	1330	2022-03-11T23:54:22Z	1002194523	64965	Q21144855	https://en.wikipedia.org/wiki/MRPS9	1	87	2018	2022	7.549868421052632
526	IL17RD	1347	2022-03-11T23:47:07Z	1000867397	54756	Q21103400	https://en.wikipedia.org/wiki/IL17RD	1	50	2011	2021	7.441762116873476
