	QID	label	geneID	proteinID
2085	Q18028214	KCNMA1	3778	Q5018799
2088	Q18031784	SULT2A1	6822	Q4907664
2093	Q18033078	COPS3	8533	Q5013423
2096	Q18033242	CTSF	8722	Q5052482
2103	Q18034316	CABP1	9478	Q5018800
2105	Q18034663	ATG13	9776	Q4826898
2107	Q18036160	BVES	11149	Q4927903
2110	Q18037213	CES3	23491	Q5038078
2113	Q18037290	CASP14	23581	Q5049050
2117	Q18039778	KCNIP3	30818	Q5023958
2120	Q18041289	ASPN	54829	Q4808200
2125	Q18042881	CPA6	57094	Q5038083
2128	Q18045448	ATG101	60673	Q4826896
2132	Q18045799	C12orf43	64897	Q5007390
2137	Q18052288	AMOT	154796	Q4763281
2139	Q18247637	AGA	175	Q4807720
2143	Q18247971	BID	637	Q4835575
2148	Q18248555	CSNK2A1	1457	Q5048395
2152	Q20969983	CDKN1B	1027	Q5009962
2160	Q20970011	CTPS1	1503	Q5014600
2164	Q21163346	CTCF	10664	Q5014546
2171	Q17815722	AEBP1	165	Q21104965
2174	Q17912803	DARS1	1615	Q21105029
2177	Q17913504	AKR1C1	1645	Q21105077
2182	Q17913531	AKR1C2	1646	Q21105063
2184	Q17914048	DOCK1	1793	Q21105158
2188	Q18025777	GFI1	2672	Q21105099
2194	Q18026299	GOLGA4	2803	Q21105157
2199	Q18026711	GYS1	2997	Q21105022
2200	Q18027281	AGFG1	3267	Q21104991
2204	Q18027284	AGFG2	3268	Q21104989
2209	Q18028257	KIF5A	3798	Q21105153
2215	Q18030203	NPR1	4881	Q21105144
2219	Q18030205	NPR2	4882	Q21105148
2223	Q18030206	NPR3	4883	Q21105146
2227	Q18030383	PCMT1	5110	Q21105038
2232	Q18030403	PDE2A	5138	Q21105011
2236	Q18030645	POLE2	5427	Q21104993
2239	Q18030737	PPP6C	5537	Q21105132
2242	Q18030769	PRKAR2A	5576	Q21105026
2246	Q18030783	PRKDC	5591	Q21105070
2252	Q18030927	PTPN3	5774	Q21105040
2256	Q18031011	RAD23A	5886	Q21105151
2262	Q18031093	UPF1	5976	Q21104922
2268	Q18031699	AKR1D1	6718	Q21105062
2269	Q18032205	TSNAX	7257	Q21105095
2279	Q14902475	GAA	2548	Q565672
2285	Q14902527	AQP2	359	Q2045854
2292	Q14903102	BMP7	655	Q699996
2301	Q14903153	BMP2	650	Q699997
2312	Q14903397	BMP4	652	Q700001
2319	Q14903608	TGM2	7052	Q647813
2330	Q14903784	SMAD1	4086	Q699999
2335	Q14904550	APOC1	341	Q1977297
2343	Q14904613	TGFB1	7040	Q2062543
2352	Q14905041	NR1H4	9971	Q1085078
2361	Q14905078	NR1I3	9970	Q1500004
2367	Q14905108	ACVR1B	91	Q1500003
2371	Q5049047	DFFB	1677	Q21101094
2375	Q5148523	CSF1R	1436	Q21100975
2382	Q5260069	DGUOK	1716	Q21101098
2389	Q17854344	PTTG1IP	754	Q21100813
2394	Q17862049	CLCN6	1185	Q21100773
2399	Q17862091	CLCNKA	1187	Q21100810
2403	Q17907790	CLTA	1211	Q21100808
2404	Q17907791	CLTB	1212	Q21100809
2408	Q17908841	COX4I1	1327	Q21100860
2411	Q17909094	COX11	1353	Q21100881
2413	Q17909099	COX15	1355	Q21100872
2416	Q17910011	CRYAB	1410	Q21100907
2420	Q17910087	CRYBA2	1412	Q21100911
2422	Q17912191	CYP8B1	1582	Q21100889
2426	Q17912234	CYP51A1	1595	Q21100886
2431	Q18026391	GPR25	2848	Q21100902
2436	Q18027573	IFI35	3430	Q21100814
2441	Q18031090	RELB	5971	Q21100854
2447	Q18031404	SCNN1D	6339	Q21100849
2451	Q18032617	CSDE1	7812	Q21100970
2456	Q18033200	EIF3I	8668	Q21100823
2463	Q18033801	CLDN12	9069	Q21100778
2469	Q18033803	CLDN10	9071	Q21100783
2472	Q18032230	TULP3	7289	Q21105140
2474	Q18032753	AKAP1	8165	Q21105089
2477	Q18032777	AKAP17A	8227	Q21105071
2481	Q18032800	COLQ	8292	Q21104951
2484	Q18033180	AKR1C3	8644	Q21105060
2488	Q18033840	INA	9118	Q21105084
2490	Q18033948	AIMP1	9255	Q21105081
2493	Q18034304	AKAP7	9465	Q21105014
2494	Q18034304	AKAP7	9465	Q21105110
2499	Q18034404	AKAP12	9590	Q21105074
2502	Q18034597	PPP6R2	9701	Q21105134
2504	Q18035190	BCAS2	10286	Q21105017
2511	Q18035489	AKAP3	10566	Q21105019
2514	Q18036082	WWP2	11060	Q21105130
2517	Q18036121	PTPN21	11099	Q21105085
2519	Q18036404	AKAP11	11215	Q21105111
2522	Q18036405	AKAP10	11216	Q21105012
2525	Q18036724	ZBTB43	23099	Q21104953
2529	Q18037028	ANKRD28	23243	Q21105133
2531	Q18037038	ANKRD12	23253	Q21105183
2533	Q18037157	SIRT4	23409	Q21104987
2537	Q18037617	AIPL1	23746	Q21105109
2542	Q18037791	POT1	25913	Q21104947
2549	Q18037931	ANKRD17	26057	Q21105135
2554	Q18038212	TINF2	26277	Q21104934
2559	Q18038224	MYCBP	26292	Q21105092
2563	Q18038280	LATS2	26524	Q21105103
2565	Q18039626	ANKRD11	29123	Q21105184
2568	Q18039837	ANO7	50636	Q21105179
2569	Q18040116	ANKRD39	51239	Q21105171
2571	Q14914583	NCOA1	8648	Q3681842
2578	Q14914618	STAT4	6775	Q3943950
2585	Q14916248	PAX3	5077	Q3122834
2590	Q14916272	APOC2	344	Q3445743
2597	Q14916286	GDNF	2668	Q3064188
2605	Q14916487	DAB1	1600	Q4036848
2608	Q15312971	NR0B2	8431	Q3486853
2614	Q15317427	NFKB1	4790	Q4044834
2619	Q15321531	SRD5A2	6716	Q4048886
2623	Q15321582	DISC1	27185	Q4036897
