	geneID	proteinID	wikilink	counts
260	292	Q21130485	https://en.wikipedia.org/wiki/ADP/ATP_translocase_2	1
261	292	Q21149579	https://en.wikipedia.org/wiki/ADP/ATP_translocase_2	1
262	293	Q21141464	https://en.wikipedia.org/wiki/ADP/ATP_translocase_3	1
263	293	Q22677323	https://en.wikipedia.org/wiki/ADP/ATP_translocase_3	1
264	301	Q21121822	https://en.wikipedia.org/wiki/Annexin_A1	1
265	301	Q4769148	https://en.wikipedia.org/wiki/Annexin_A1	1
266	302	Q21145416	https://en.wikipedia.org/wiki/Annexin_A2	1
267	302	Q2851537	https://en.wikipedia.org/wiki/Annexin_A2	1
268	306	Q21130001	https://en.wikipedia.org/wiki/Annexin_A3	1
269	307	Q21130000	https://en.wikipedia.org/wiki/Annexin_A4	1
270	308	Q2851539	https://en.wikipedia.org/wiki/Annexin_A5	1
271	309	Q21154929	https://en.wikipedia.org/wiki/Annexin_A6	1
272	310	Q21131099	https://en.wikipedia.org/wiki/Annexin_A7	1
273	311	Q21130004	https://en.wikipedia.org/wiki/Annexin_A11	1
274	312	Q21130003	https://en.wikipedia.org/wiki/Annexin_A13	1
275	313	Q21137416	https://en.wikipedia.org/wiki/AOAH	1
276	313	Q22679814	https://en.wikipedia.org/wiki/AOAH	1
277	314	Q21109459	https://en.wikipedia.org/wiki/AOC2	1
278	316	Q21143112	https://en.wikipedia.org/wiki/Aldehyde_oxidase_1	1
279	316	Q22680234	https://en.wikipedia.org/wiki/Aldehyde_oxidase_1	1
280	317	Q21109162	https://en.wikipedia.org/wiki/APAF1	1
281	318	Q21111491	https://en.wikipedia.org/wiki/NUDT2	1
282	319	Q21130013	https://en.wikipedia.org/wiki/APOF	1
283	320	Q21116188	https://en.wikipedia.org/wiki/APBA1	1
284	321	Q21111501	https://en.wikipedia.org/wiki/APBA2	1
285	321	Q21117663	https://en.wikipedia.org/wiki/APBA2	1
286	322	Q21150703	https://en.wikipedia.org/wiki/APBB1	1
287	322	Q21172662	https://en.wikipedia.org/wiki/APBB1	1
288	323	Q21116199	https://en.wikipedia.org/wiki/APBB2	1
