	QID	label	geneID	proteinID
553	Q18033297	ADAM21	8747	Q21132396
554	Q18033354	RIOK3	8780	Q21100526
555	Q18033354	RIOK3	8780	Q21137219
556	Q18033364	MATN4	8785	Q21133715
557	Q18033364	MATN4	8785	Q21150377
560	Q18033396	DYRK4	8798	Q21102738
561	Q18033396	DYRK4	8798	Q21139828
562	Q18033441	DCAF5	8816	Q21101037
564	Q18033468	TMEM11	8834	Q21106685
566	Q18033486	PROZ	8858	Q21123783
567	Q18033504	DDX18	8886	Q21115737
568	Q18033504	DDX18	8886	Q21117526
571	Q18033513	BUD31	8896	Q21112811
573	Q18033523	GYG2	8908	Q21106190
574	Q18033532	TIMELESS	8914	Q21102311
576	Q18033537	HERC2	8924	Q21133440
577	Q18033540	BSN	8927	Q21100515
579	Q18033549	FUBP3	8939	Q21110283
581	Q18033625	STBD1	8987	Q21113303
583	Q18033765	CH25H	9023	Q22676906
585	Q18033770	RHBDL1	9028	Q21122690
586	Q18033811	PRY	9081	Q21123330
588	Q18033814	VCY	9084	Q21135889
590	Q18033823	TBX18	9096	Q21127339
591	Q18033823	TBX18	9096	Q21142604
592	Q18033832	MTMR7	9108	Q21120086
593	Q18033833	MTMR4	9110	Q21120085
594	Q18033833	MTMR4	9110	Q21139745
595	Q18033839	SEC22C	9117	Q21114480
596	Q18033839	SEC22C	9117	Q21140455
599	Q18033840	INA	9118	Q21105084
601	Q18033842	SLC16A6	9120	Q21108944
603	Q18033858	CCNE2	9134	Q21108333
604	Q18033858	CCNE2	9134	Q21117671
605	Q18033867	SYNGR2	9144	Q21135420
607	Q18033881	DGKI	9162	Q21102563
609	Q18033899	SLC24A1	9187	Q21108999
610	Q18033908	HACD1	9200	Q21110995
612	Q18033910	ZMYM4	9202	Q21113078
614	Q18033912	ZMYM6	9204	Q21136541
616	Q18033913	ZMYM5	9205	Q21135741
617	Q18033913	ZMYM5	9205	Q21141560
620	Q18033917	LRRFIP2	9209	Q21110477
621	Q18033917	LRRFIP2	9209	Q21137494
624	Q18033934	CCPG1	9236	Q21111921
625	Q18033934	CCPG1	9236	Q21139223
626	Q18033934	CCPG1	9236	Q21149275
630	Q18033936	PNMA1	9240	Q21132731
632	Q18033940	GCNT3	9245	Q21110329
633	Q18033949	TSPOAP1	9256	Q21102128
634	Q18033949	TSPOAP1	9256	Q21139005
635	Q18033949	TSPOAP1	9256	Q21141509
636	Q18033949	TSPOAP1	9256	Q21146104
641	Q18038184	FAM50B	26240	Q21112950
643	Q18038192	CLEC4E	26253	Q21114193
645	Q18038196	NKX2-8	26257	Q21123073
647	Q18038199	FBXO25	26260	Q21132042
649	Q18038201	TSPAN17	26262	Q21126679
651	Q18038202	FBXO22	26263	Q21132040
652	Q18038202	FBXO22	26263	Q21144847
655	Q18038203	SLC13A4	26266	Q21124440
657	Q18038204	FBXO10	26267	Q21101378
659	Q18038206	FBXO8	26269	Q21101371
661	Q18038210	FBXO3	26273	Q21171725
663	Q18038216	FGF20	26281	Q21172804
664	Q18038217	ERAL1	26284	Q21114083
665	Q18038217	ERAL1	26284	Q21150637
668	Q18038221	AK5	26289	Q5657580
669	Q18038222	GALNT8	26290	Q21110322
670	Q18038222	GALNT8	26290	Q21140193
671	Q18038225	SERGEF	26297	Q21111428
673	Q18038237	OR5H1	26341	Q21174838
674	Q18038244	SEZ6L2	26470	Q21122057
675	Q18038244	SEZ6L2	26470	Q21149541
678	Q18038263	CNNM4	26504	Q21109867
680	Q18038266	CNNM1	26507	Q21109874
682	Q18038269	CHIC2	26511	Q21115638
684	Q18038278	TIMM8B	26521	Q21135087
686	Q18038282	TSPAN16	26526	Q21126689
688	Q18038297	ITGB1BP2	26548	Q21121507
690	Q18038300	SRPK3	26576	Q21136196
691	Q18038303	MYEOV	26579	Q21120889
693	Q18038310	GREM1	26585	Q21109178
695	Q18038312	MRPL46	26589	Q21120550
696	Q18038318	TBL2	26608	Q21124609
697	Q18038318	TBL2	26608	Q21137273
700	Q18038329	OR7E24	26648	Q21133493
701	Q18038355	OR2V1	26693	Q21120375
702	Q18038375	GAGE12I	26748	Q21132828
703	Q18038375	GAGE12I	26748	Q21132829
704	Q18038375	GAGE12I	26748	Q21132831
705	Q18038375	GAGE12I	26748	Q21133106
710	Q18038376	GAGE2E	26749	Q21132832
711	Q18038376	GAGE2E	26749	Q21133112
714	Q18029683	MVD	4597	Q21138679
715	Q18029683	MVD	4597	Q22676688
718	Q18029711	MYBPH	4608	Q21204108
720	Q18029785	MYO1D	4642	Q21120909
722	Q18029797	MYO7B	4648	Q21114070
724	Q18029800	MYO9A	4649	Q21121700
725	Q18029800	MYO9A	4649	Q21137618
728	Q18029842	HNRNPM	4670	Q21139177
729	Q18029842	HNRNPM	4670	Q21171266
730	Q18029850	NAP1L2	4674	Q21134448
732	Q18029867	NBL1	4681	Q21117711
734	Q18029869	NUBP1	4682	Q21124906
736	Q18029872	NCAM2	4685	Q21133210
738	Q18029876	NCBP1	4686	Q21120093
739	Q18029876	NCBP1	4686	Q21151638
742	Q18030135	NHLH2	4808	Q21106304
743	Q18030135	NHLH2	4808	Q21149646
746	Q18030151	NINJ2	4815	Q21100306
748	Q18030154	NIT1	4817	Q21123107
750	Q18030166	NNAT	4826	Q21133213
752	Q18030190	NPAS1	4861	Q21118881
754	Q18030221	NRTN	4902	Q22679857
756	Q18030229	NTN3	4917	Q21117986
758	Q18030252	OAT	4942	Q21130976
759	Q18030253	TBC1D25	4943	Q21123468
761	Q18030276	OMP	4975	Q22676952
763	Q18030284	SIX6	4990	Q21135601
765	Q18030298	SLC22A18AS	5003	Q21110499
767	Q18030301	ORM2	5005	Q21115118
769	Q18030311	OVOL1	5017	Q21122431
770	Q18030311	OVOL1	5017	Q21140982
773	Q18030371	PCCA	5095	Q21121842
776	Q18030372	PCCB	5096	Q21121843
777	Q18030372	PCCB	5096	Q21138006
780	Q18030378	PCDH9	5101	Q21121091
782	Q18030399	PDCD1	5133	Q21208025
783	Q18030404	PDE3A	5139	Q21123247
785	Q18030405	PDE3B	5140	Q21123244
787	Q18030414	PDE6H	5149	Q21105644
789	Q18030423	PDGFRL	5157	Q21126812
791	Q18028801	MAGEA6	4105	Q21108169
793	Q18028821	MAGEB1	4112	Q21171210
795	Q18028827	MAGEB3	4114	Q21130830
797	Q18028830	MAGEB4	4115	Q21132923
799	Q18028844	MAN2A2	4122	Q21121649
800	Q18028844	MAN2A2	4122	Q21138273
803	Q18028846	MAN2C1	4123	Q21121658
804	Q18028846	MAN2C1	4123	Q21139848
